title,address_info,city,abbr,post,phone
"['Sleep Number ', 'Germantown']","['Next to Starbucks', '7564 Poplar Ave.', 'Suite 101']",Germantown,TN,38138,(901) 624-0601
"['Sleep Number ', 'Danbury']","['Across from Mall on Sugar Hollow Road', '3 Sugar Hollow Rd', 'Ste 3B']",Danbury,CT,06810,(203) 748-0121
"['Sleep Number ', 'Southaven']","['Near Starbucks and Malco Theaters', '200 Goodman Rd East', 'Ste 105']",Southaven,MS,38671,(662) 772-5966
"['Sleep Number ', 'Monroe']","['Mall Location - Center Court, near Sears', '4700 Millhaven Rd', 'Suite 1146']",Monroe,LA,71203,(318) 410-0086
"['Sleep Number ', 'South Windsor']","[""Next to L'Occitane Provence opposite Williams Sonoma"", '201 Evergreen Way', 'Suite 249']",South Windsor,CT,06074,(860) 644-8464
"['Sleep Number ', 'Springfield']","['Next to the Commerce Bank', '1315 E Battlefield Rd', 'Suite 104']",Springfield,MO,65804,(417) 885-1394
"['Sleep Number ', 'Jonesboro']","['Across from Starbucks', '2316 Red Wolf Blvd.', 'Suite B']",Jonesboro,AR,72401,(870) 932-2474
"['Sleep Number ', 'Joplin']","['Mall Location - Near JCPenney', '101 N Range Line Rd', 'Space 226']",Joplin,MO,64801,(417) 623-3233
"['Sleep Number ', 'Cape Girardeau']","['Across from Target', '157 Siemers Drive', 'Suite 108']",Cape Girardeau,MO,63701,(573) 803-4277
"['Sleep Number ', 'Columbia']","['Mall Location - 2nd Floor, in between Sears and JCPenney', '10300 Little Patuxent Parkway', 'Suite 2345']",Columbia,MD,21044,(410) 740-8565
"['Sleep Number ', 'Memphis']","[""Mall Location - Macy's Wing by Verizon"", '2760 N Germantown Drive', 'Suite 1590']",Memphis,TN,38133,(901) 381-0126
"['Sleep Number ', 'North Little Rock']","['Outside McCain Mall, next to Red Lobster', '3711 McCain Blvd.', 'North Little Rock']",North Little Rock,AR,72116,(501) 859-0540
"['Sleep Number ', 'Towson']","['Mall Location - 3rd level next to Steve Madden', '825 Dulaney Valley Road', 'Space 3350']",Towson,MD,21204,(410) 823-3664
"['Sleep Number ', 'Deptford']","['Mall Location - Lower level, next to Ruby Tuesday', '1750 Deptford Center Road', 'Suite 1242']",Deptford,NJ,08096,(856) 251-9508
"['Sleep Number ', 'Glen Mills']","['In Wegmans Shopping Center', '1731 Wilmington Pike', 'Suite Ex-A']",Glen Mills,PA,19342,(610) 358-1921
"['Sleep Number ', 'Owings Mills']","['South of intersection of Painters Mill Rd., and Reisterstown Rd., near Wegmans', '10010 Reisterstown Rd.', 'Suite 10']",Owings Mills,MD,21117,(443) 641-0140
"['Sleep Number ', 'Hanover']","['Mall Location - Near Bed, Bath & Beyond', '7000 Arundel Mills Circle', 'Suite 505']",Hanover,MD,21076,(443) 755-0200
"['Sleep Number ', 'Little Rock']","['Near Chenal 9 Theatres with IMAX', '17721 Chenal Parkway', 'Suite B101']",Little Rock,AR,72223,(501) 821-0063
"['Sleep Number ', 'Mays Landing']","['east of AC Expy. Exit 12, across from Hamilton Commons', '4300 E Black Horse Pike', 'Suite 220']",Mays Landing,NJ,08330,(609) 829-9180
"['Sleep Number ', 'Sicklerville']","[""Next to Carter's"", '611 Cross Keys Road', 'Suite B227']",Sicklerville,NJ,08081,(856) 740-0880
"['Sleep Number ', 'Springfield']","['Mall Location - 2nd Floor, Center', '1250 Baltimore Pike', 'Space U10A']",Springfield,PA,19064,(610) 544-2461
"['Sleep Number ', 'Annapolis']","[""across from Victoria's Secret near JCPenny"", '1540 Annapolis Mall', 'Annapolis']",Annapolis,MD,21401,(410) 573-1710
"['Sleep Number ', 'Bowie']","[""Near Macy's"", '15415 Emerald Way', '#D03']",Bowie,MD,20716,(301) 262-6255
"['Sleep Number ', 'Hunt Valley']","['Located between Chico’s & White House Black Market', '116 Shawan Rd.', 'Suite 4']",Hunt Valley,MD,21030,(443) 391-8405
"['Sleep Number ', 'Bel Air']","['Mall Location - Next to the Main Entrance', '696A Bel Air Rd', 'Space J12']",Bel Air,MD,21014,(443) 356-4402
"['Sleep Number ', 'Tupelo']","[""Mall Location - Near Food Court entrance, next to Chico's"", '1001 Barnes Crossing Road', 'Space 720']",Tupelo,MS,38804,(662) 844-6742
"['Sleep Number ', 'Newark']","[""Mall Location - Between Macy's and Target"", '433 Christiana Mall Rd', 'Newark']",Newark,DE,19702,(302) 266-6624
"['Sleep Number ', 'Baltimore']","[""Mall Location - 2nd Floor, Near Macy's and Sears"", '8200 Perry Hall Road', 'Space 2280']",Baltimore,MD,21236,(410) 931-9700
"['Sleep Number ', 'Hillsboro']","[""Next to Verizon and Stanford's"", '2790 NW 188th Ave.', 'Hillsboro']",Hillsboro,OR,97124,(503) 372-6920
"['Sleep Number ', 'Salem']","['between Starbucks and Roth’s Fresh Market', '3165 Commercial St SE', 'Suite 103']",Salem,OR,97302,(971) 304-0995
"['Sleep Number ', 'Albany']","['Next to Ruby Tuesday', '2630 Dawson Rd.', 'Suite 2']",Albany,GA,31707,(229) 299-8477
"['Sleep Number ', 'Salisbury']","['On southbound Rt. 13 Business, across from The Centre at Salisbury', '2412-C N Salisbury Blvd.', 'Salisbury']",Salisbury,MD,21801,(410) 216-1005
"['Sleep Number ', 'Marlton']","['Near Center Court', '500 Rte 73 S', 'Suite C18']",Marlton,NJ,08053,(856) 452-0031
"['Sleep Number ', 'Dover']","['near Center Court', '1365 N Dupont Hwy', 'Dover']",Dover,DE,19901,(302) 678-2295
"['Sleep Number ', 'Puyallup']","['Corner of 168th and Meridian Ave., in the Rainier View Marketplace', '16802 Meridian East', 'Suite 100']",Puyallup,WA,98375,(206) 480-1105
"['Sleep Number ', 'Tukwila']","['Next to IHOP', '17250 Southcenter Pkwy.', 'Suite 100']",Tukwila,WA,98188,(206) 433-3847
"['Sleep Number ', 'Douglasville']","[""Mall Location - near Macy's in Center Court"", '6700 Douglas Boulevard', 'Suite 1390']",Douglasville,GA,30135,(678) 391-0662
"['Sleep Number ', 'Huntsville']","[""Mall Location - 2nd floor, near Dillard's"", '2801 Memorial Pkwy SW', 'Huntsville']",Huntsville,AL,35801,(256) 864-2013
"['Sleep Number ', 'Madison']","['Off Hwy. 72, in front of Kohls, next to Outback Steakhouse', '7626 U.S. Hwy. 72', 'Suite 100']",Madison,AL,35758,(256) 346-0403
"['Sleep Number ', 'Bellevue']","[""across from Bose, outside Nordstrom Men's"", '1006 Bellevue Square', 'Bellevue']",Bellevue,WA,98004,(425) 450-4013
"['Sleep Number ', 'Olympia']","[""Mall Location - Between Macy's and Forever 21"", '625 Black Lake Blvd', 'Suite 333']",Olympia,WA,98502,(360) 236-0492
"['Sleep Number ', 'Hattiesburg']","['Near Talbots', '6156 US Hwy 98 West', 'Suite 90']",Hattiesburg,MS,39402,(601) 264-3015
"['Sleep Number ', 'Tacoma']","['Inside the mall, across from the Cheesecake Factory', '4502 South Steele Street', 'Suite 804A']",Tacoma,WA,98409,(253) 472-6476
"['Sleep Number ', 'Daphne']","['off Hwy. 90, across from The Home Depot', '6935 US Highway 90', 'Suite 202']",Daphne,AL,36526,(251) 304-9945
"['Sleep Number ', 'Dothan']","['Across from Wiregrass Commons', '3431 Montgomery Hwy', 'Suite 1']",Dothan,AL,36303,(334) 792-1113
"['Sleep Number ', 'Anchorage']","['next to Target & Cabela’s', '320 W. 100th Ave.', 'Anchorage']",Anchorage,AK,99515,(907) 349-0164
"['Sleep Number ', 'Bellingham']","['East of Interstate 5 and Costco', '4210 Meridian Street', 'Bellingham']",Bellingham,WA,98226,(360) 671-1266
"['Sleep Number ', 'Issaquah']","['On the corner of Highlands Dr. next to Regal Cinemas Issaquah Highlands', '1624 Highlands Dr NE', 'Suite 120']",Issaquah,WA,98029,(425) 365-0220
"['Sleep Number ', 'Opelika']","['2065 Interstate Drive', 'Unit B-2']",Opelika,AL,36801,(334) 737-6964
"['Sleep Number ', 'Silverdale']","['Intersection of Hwy. 3 and Hwy. 303', '11066 Pacific Crest Place NW', 'Suite A-170']",Silverdale,WA,98383,(360) 698-7601
"['Sleep Number ', 'Lynnwood']","['Center Court, Near Williams Sonoma', '3000 184th Street SW', 'Space 964']",Lynnwood,WA,98037,(425) 775-3540
"['Sleep Number ', 'Tuscaloosa']","['Next to Texas Roadhouse', '1397 McFarland Blvd. E.', 'Tuscaloosa']",Tuscaloosa,AL,35404,(205) 535-3710
"['Sleep Number ', 'Birmingham']","['Hwy. 280 near Chick-fil-A', '4618 Hwy 280', 'Suite 100']",Birmingham,AL,35242,(205) 981-3006
"['Sleep Number ', 'Birmingham']","['Mall Location - Upper level, near Center Court', '3000 Riverchase Galleria', 'Birmingham']",Birmingham,AL,35244,(205) 989-6662
"['Sleep Number ', 'Pensacola']","[""Next to Jason's Deli across from Sacred Heart"", '1550 Airport Blvd', 'Pensacola']",Pensacola,FL,32504,(850) 477-5070
"['Sleep Number ', 'Columbus']","['Next to Krispy Kreme', '6759 Veterans Parkway', 'Columbus']",Columbus,GA,31909,(706) 322-0152
"['Sleep Number ', 'El Paso']","['Next to USAA Credit Union', '8889 Gateway Blvd West', 'Suite 1210']",El Paso,TX,79925,(915) 594-4060
"['Sleep Number ', 'Marysville']","['Marketplace at Smokey Point, near Dick’s Sporting Goods', '2631 172nd St. NE', 'Suite 101']",Marysville,WA,98271,(360) 502-7105
"['Sleep Number ', 'Peachtree City']","[""West of Central Park, near Moe's"", '502 Circle Gate', 'Suite 1720']",Peachtree City,GA,30269,(770) 632-9330
"['Sleep Number ', 'Casper']","['in Triangle Plaza on 2nd St., across from The Home Depot', '4845 E 2nd St', 'Casper']",Casper,WY,82609,(307) 439-0010
"['Sleep Number ', 'Palmdale']","['Mall Location - Center Court, near the Food Court', '1233 Rancho Vista Blvd', 'Suite 765']",Palmdale,CA,93551,(661) 272-0682
"['Sleep Number ', 'Grand Junction']","['Next to Starbucks on 25 Road', '2504 Hwy 6 & 50', 'Suite 250']",Grand Junction,CO,81505,(970) 256-7276
"['Sleep Number ', 'Montgomery']","['Next to Books-A-Million', '7072 Eastchase Pkwy', 'Montgomery']",Montgomery,AL,36117,(334) 244-5822
"['Sleep Number ', 'Cheyenne']","['Mall Location - Outside entrance near the Sears wing', '1400 Dell Range Blvd', 'Space 86']",Cheyenne,WY,82009,(307) 632-1365
"['Sleep Number ', 'Temecula']","['Outside the mall, next to the Apple Store', '40764 Winchester Road', '#520']",Temecula,CA,92591,(951) 296-0663
"['Sleep Number ', 'Colorado Springs']","[""In front of Lowe's"", '739 N Academy Boulevard', 'Colorado Springs']",Colorado Springs,CO,80909,(719) 380-7600
"['Sleep Number ', 'Fort Collins']","['In front of Foothills Mall', '3280 S College Aveune', 'Suite 110']",Fort Collins,CO,80525,(970) 206-9829
"['Sleep Number ', 'Colorado Springs']","['Across from Whole Foods', '7620 N Academy Blvd', 'Colorado Springs']",Colorado Springs,CO,80920,(719) 598-3240
"['Sleep Number ', 'Aurora']","['Next to Sports Authority', '6295 S Main St', 'Suite 101']",Aurora,CO,80016,(303) 617-5337
"['Sleep Number ', 'Pueblo']","[""in Pueblo Crossing, across from Dick's Sporting Goods"", '5931 N Elizabeth St.', 'Pueblo']",Pueblo,CO,81008,(719) 283-9663
"['Sleep Number ', 'Northglenn']","['Near Longhorn Steakhouse', '100 East 120th Ave', 'Unit B110']",Northglenn,CO,80233,(303) 280-2964
"['Sleep Number ', 'Loveland']","[""South of Dick's Sporting Goods"", '5865 Sky Pond Drive', 'Suite G148']",Loveland,CO,80538,(970) 203-0499
"['Sleep Number ', 'Longmont']","['At the Peaks Shopping Center', '1248 S Hover Street', 'Unit 200']",Longmont,CO,80501,(303) 772-2436
"['Sleep Number ', 'Eugene']","['Across from Valley River Center', '1125 Valley River Drive', 'Suite A']",Eugene,OR,97401,(541) 302-3351
"['Sleep Number ', 'Lone Tree']","[""near Dillard's next to Build-A-Bear"", '8505 Park Meadow Center Drive', 'Suite 2036']",Lone Tree,CO,80124,(303) 799-4993
"['Sleep Number ', 'Littleton']","['Aspen Grove Lifestyle Center near Panera Bread', '7301 S Santa Fe Drive', 'Suite 722']",Littleton,CO,80120,(303) 933-4110
"['Sleep Number ', 'Palm Desert']","['On Hwy 111- In the Whole Foods Shopping Center', '44489 Town Center Way', 'Suite A']",Palm Desert,CA,92260,(760) 836-3200
"['Sleep Number ', 'Broomfield']","['Near the food court, across from Pottery Barn', '1 West FlatIron Crossing Drive', 'Space 2258']",Broomfield,CO,80021,(720) 887-9800
"['Sleep Number ', 'Albuquerque']","['next to Panera Bread on State Hwy. 528, across from Whataburger', '3600 State Highway 528', 'Albuquerque']",Albuquerque,NM,87114,(505) 898-2878
"['Sleep Number ', 'Las Vegas']","[""Downtown Summerlin, near Trader Joe's"", '11035 Lavender Hills Dr', 'Suite 100']",Las Vegas,NV,89135,(702) 998-5074
"['Sleep Number ', 'Destin']","['Across from Henderson Beach State Park', '34761 Emerald Coast Pkwy.', 'Suite 1']",Destin,FL,32541,(850) 460-3511
"['Sleep Number ', 'Las Vegas']","['Near Whole Foods', '6695 Las Vegas Blvd.', 'Space A-185']",Las Vegas,NV,89119,(702) 757-2204
"['Sleep Number ', 'Farmington']","['Near Target', '5000 E. Main St', '#106']",Farmington,NM,87402,(505) 209-9655
"['Sleep Number ', 'Lakewood']","['On Denver West-Colfax Ave.', '14025 W Colfax Drive', 'Lakewood']",Lakewood,CO,80401,(303) 216-1825
"['Sleep Number ', 'Delafield']","['Located at NEQ of Hwy 83 and   i-94', '2916 Golf Road', 'Delafield']",Delafield,WI,53018,(262) 646-9591
"['Sleep Number ', 'Novi']","['Mall Location - Lower level, near Lord and Taylor', '27690 Novi Rd', 'Space D-183']",Novi,MI,48377,(248) 735-4512
"['Sleep Number ', 'Tucson']","['Northwest corner of Broadway and Craycroft', '5465 E Broadway Blvd', 'Tucson']",Tucson,AZ,85711,(520) 745-2625
"['Sleep Number ', 'Albuquerque']","['southwest corner of Louisiana & Menaul Blvd. near Barnes & Noble', '6600 Menaul Blvd. NE', 'Albuquerque']",Albuquerque,NM,87110,(505) 999-5814
"['Sleep Number ', 'Auburn Hills']","['in District 3 of Great Lakes Crossing Mall', '4110 Baldwin Rd', 'Suite 329']",Auburn Hills,MI,48326,(248) 319-6050
"['Sleep Number ', 'Henderson']","['By Home Depot', '1124 W Sunset Road', 'Henderson']",Henderson,NV,89014,(702) 433-5335
"['Sleep Number ', 'Ann Arbor']","['Near Starbucks', '3597-C Washtenaw Ave', 'Ann Arbor']",Ann Arbor,MI,48104,(734) 973-5883
"['Sleep Number ', 'Grafton']","['corner of Washington St. and County Hwy. W, next to AT&T', '1205 Port Washington Rd.', 'Grafton']",Grafton,WI,53024,(262) 618-7550
"['Sleep Number ', 'Denver']","['Across from Whole Foods and Home Depot', '895 S Colorado Blvd', 'Denver']",Denver,CO,80246,(303) 377-3093
"['Sleep Number ', 'Rochester Hills']","[""Off Market Lane - behind Max and Erma's"", '130 N Adams Rd', 'Rochester Hills']",Rochester Hills,MI,48309,(248) 230-4750
"['Sleep Number ', 'Greenfield']","[""On the corner of 76th & Edgerton, next to Men's Warehouse"", '5096 South 76th St', 'Greenfield']",Greenfield,WI,53220,(414) 421-7164
"['Sleep Number ', 'Wauwatosa']","['Across from Panera Bread', '2500 N Mayfair Dr', 'Wauwatosa']",Wauwatosa,WI,53226,(414) 476-4360
"['Sleep Number ', 'Pleasant Prairie']","['In front of Costco', '9250 76th St.', 'Suite B']",Pleasant Prairie,WI,53158,(262) 214-1357
"['Sleep Number ', 'Washington']","['at the corner of W Red Cliffs Dr. and S Green Springs Dr.', '880 W Red Cliffs Dr.', 'Suite D']",Washington,UT,84780,(435) 359-0950
"['Sleep Number ', 'Appleton']","[""Mall Location - Macy's wing"", '4301 W Wisconsin Ave', 'Space 401']",Appleton,WI,54913,(920) 993-0221
"['Sleep Number ', 'Traverse City']","['Across from Panera Bread', '3664 N US 31 S', 'Unit 1']",Traverse City,MI,49684,(231) 933-9280
"['Sleep Number ', 'Okemos']","[""Mall Location - Macy's wing, near Center Court"", '1982 West Grand River Avenue', 'Okemos']",Okemos,MI,48864,(517) 347-9844
"['Sleep Number ', 'Flint']","['next to Huntington Bank', '4574 Miller Road', 'Flint']",Flint,MI,48507,(810) 732-8380
"['Sleep Number ', 'Saginaw']","['East of Fashion Square Mall', '2721 Tittabawassee Rd', 'Suite 2']",Saginaw,MI,48604,(989) 791-3437
"['Sleep Number ', 'Glendale']","[""Mall Location - 1st level near Macy's"", '7700-1155 W Arrowhead Towne Ctr', 'Glendale']",Glendale,AZ,85308,(623) 412-1000
"['Sleep Number ', 'Holland']","['in The Shops at Westshore, near Younkers', '12377 James St.', 'Suite 10']",Holland,MI,49424,(616) 377-1085
"['Sleep Number ', 'Avondale']","[""In front of Sportsman's Warehouse"", '10155 W McDowell Rd.', 'Suite C-100']",Avondale,AZ,85392,(623) 800-7801
"['Sleep Number ', 'Tucson']","['SE Corner of Oracle and Wetmore', '4362 North Oracle Road', 'Suite 104']",Tucson,AZ,85705,(520) 293-6003
"['Sleep Number ', 'Grandville']","['Mall Location - In front of JCPenney', '3700 Rivertown Parkway SW', 'Suite 2024']",Grandville,MI,49418,(616) 249-0670
"['Sleep Number ', 'Green Bay']","[""on Oneida St., near McDonald's"", '2330 S Oneida St', 'Suite 103']",Green Bay,WI,54304,(920) 490-9319
"['Sleep Number ', 'Norton Shores']","['Lakeshore Marketplace, in front of T.J.Maxx and Toys “R” Us', '5251 S Harvey St.', 'Suite 200']",Norton Shores,MI,49444,(231) 246-1102
"['Sleep Number ', 'Kentwood']","['Mall Location - Across from the Apple Store', '3175 28th St SE', 'Suite E102']",Kentwood,MI,49512,(616) 949-9131
"['Sleep Number ', 'Phoenix']","['corner of Happy Valley Road and Norterra Pkwy., next to Men’s Wearhouse', '2310 W Happy Valley Road', 'Suite 1019']",Phoenix,AZ,85085,(602) 491-9738
"['Sleep Number ', 'Phoenix']","['North side of Camelback Colonnade, next to Discount Tire', '1846 E Camelback Rd.', 'Phoenix']",Phoenix,AZ,85016,(602) 362-6091
"['Sleep Number ', 'Stockton']","['Corner of Pacific Ave. and W. Robinhood Dr., next to AT&T', '5756 Pacific Ave', 'Stockton']",Stockton,CA,95207,(209) 689-0937
"['Sleep Number ', 'Folsom']","['Near Whole Foods', '290 Palladio Pkwy.', 'Suite 855']",Folsom,CA,95630,(916) 983-7862
"['Sleep Number ', 'Visalia']","['Corner of S. Mooney Blvd. and W. Whitendale Ave.', '2928 S. Mooney Blvd.', 'Visalia']",Visalia,CA,93277,(559) 733-3984
"['Sleep Number ', 'Chandler']","[""Mall Location - Lower level, near Dillard's"", '3111 West Chandler Blvd', 'Suite 1080']",Chandler,AZ,85226,(480) 214-0244
"['Sleep Number ', 'Portage']","['Mall Location - 2nd level, near Sears wing', '6650 S Westnedge', 'Space 206']",Portage,MI,49024,(269) 324-2888
"['Sleep Number ', 'Gilbert']","['Next to Banana Republic', '2212 E Williamsfield Rd', 'Suite 110']",Gilbert,AZ,85296,(602) 433-4821
"['Sleep Number ', 'Mesa']","['Mall Location - Upper level, near JCPenney', '6555 E Southern Ave', 'Suite 2018']",Mesa,AZ,85206,(480) 218-4304
"['Sleep Number ', 'Santa Barbara']","['Across from Petco', '3993 State Street', 'Santa Barbara']",Santa Barbara,CA,93105,(805) 967-1361
"['Sleep Number ', 'Fresno']","['northeast corner of N. Fresno and Shaw Ave.', '432 E Shaw Ave', 'Fresno']",Fresno,CA,93710,(559) 221-0185
"['Sleep Number ', 'Elk Grove']","['In front of Home Depot off West Laguna', '9158 W Stockton Blvd', 'Suite 120']",Elk Grove,CA,95758,(916) 688-8696
"['Sleep Number ', 'Bakersfield']","[""Mall Location - Near Macy's"", '2701 Ming Avenue', 'Suite 152']",Bakersfield,CA,93304,(661) 834-5802
"['Sleep Number ', 'Modesto']","['Mall Location - Near Starbucks', '3401 Dale Road', 'Suite 260']",Modesto,CA,95356,(209) 572-3736
"['Sleep Number ', 'Scottsdale']","['South of Frank Lloyd Wright Blvd., on Scottsdale Rd., across from the Promenade', '16500 N Scottsdale Rd.', 'Scottsdale']",Scottsdale,AZ,85254,(602) 953-3300
"['Sleep Number ', 'Sioux Falls']","['Across from Starbucks', '3600 W 41st Street', 'Sioux Falls']",Sioux Falls,SD,57106,(605) 362-1593
"['Sleep Number ', 'Eau Claire']","['Outside Oakwood Mall', '4734 Golf Road', 'Eau Claire']",Eau Claire,WI,54701,(715) 830-5413
"['Sleep Number ', 'Edina']","['Across from The Container Store on France Ave.', '3871 Gallagher Drive', 'Edina']",Edina,MN,55435,(952) 927-7502
"['Sleep Number ', 'Woodbury']","['corner of Radio Dr. and Tamarack Road, in front of Life Time Fitness', '740 Commons Dr', 'Woodbury']",Woodbury,MN,55125,(651) 702-9225
"['Sleep Number ', 'Bloomington']","[""Mall Location - Level 2, near Macy's"", '256 S Avenue', 'Bloomington']",Bloomington,MN,55425,(952) 858-9531
"['Sleep Number ', 'Eden Prairie']","['Near Flying Cloud Dr. and Prairie Center Dr.', '590 Prairie Center Drive', 'Suite 110']",Eden Prairie,MN,55344,(952) 943-9541
"['Sleep Number ', 'Roseville']","['Across from Rosedale Mall', '1719 County Rd B2 West', 'Roseville']",Roseville,MN,55113,(651) 631-0962
"['Sleep Number ', 'Fairview Heights']","[""Mall Location - Lower Level, near Macy's"", '194 St Clair Square', 'Fairview Heights']",Fairview Heights,IL,62208,(618) 632-2914
"['Sleep Number ', 'Saint Louis']","['Across from the Galleria', '1016 S Brentwood Blvd', 'Saint Louis']",Saint Louis,MO,63117,(314) 725-2536
"['Sleep Number ', 'Maplewood']","['Next to Caribou Coffee', '3094 White Bear Ave', 'Maplewood']",Maplewood,MN,55109,(651) 748-0353
"['Sleep Number ', 'St. Louis']","['Across from South County Center', '7333 S Lindbergh Blvd', 'Suite B']",St. Louis,MO,63125,(314) 815-3012
"['Sleep Number ', 'Minot']","['Mall Location - Center Court', '2400 10th St SW', 'Suite 405']",Minot,ND,58701,(701) 837-0957
"['Sleep Number ', 'Rapid City']","[""Next to Starbucks and Famous Dave's"", '1734 Eglin Street', 'Suite 700']",Rapid City,SD,57701,(605) 341-3024
"['Sleep Number ', 'Bismarck']","['In front of Dick’s Sporting Goods', '1499 E LaSalle Dr.', 'Bismarck']",Bismarck,ND,58503,(701) 495-0808
"['Sleep Number ', 'Des Peres']","[""Mall Location - Upper level, between Nordstroms and Macy's"", '124 West County Centre', 'Space #2080']",Des Peres,MO,63131,(314) 984-8052
"['Sleep Number ', 'Paducah']","['Across from Kentucky Oaks Mall', '5128 Hinkleville Road', 'Paducah']",Paducah,KY,42001,(270) 443-8200
"['Sleep Number ', 'Grand Forks']","[""Across from Kohl's"", '3300 32nd Avenue South', 'Suite 102']",Grand Forks,ND,58201,(701) 757-0672
"['Sleep Number ', 'St. Peters']","['The Shoppes at Mid Rivers in front of Ross and Marshalls', '5248 I-70 North Outer Rd', 'St. Peters']",St. Peters,MO,63376,(636) 397-2811
"['Sleep Number ', 'Maple Grove']","['on corner of Hemlock Ln N. and Elm Creek Pkwy.', '11802 Elm Creek Blvd N', 'Maple Grove']",Maple Grove,MN,55369,(763) 315-5383
"['Sleep Number ', 'Coon Rapids']","['Between Costco and Best Buy', '12609 Riverdale Blvd NW', 'Suite 111']",Coon Rapids,MN,55448,(763) 201-0958
"['Sleep Number ', 'Minnetonka']","['Mall Location - Upper level, next to Big Bowl', '12637 Wayzata Blvd', 'Space 2445']",Minnetonka,MN,55305,(952) 525-1595
"['Sleep Number ', 'Duluth']","['Next to the Miller Hill Mall', '2104 Maple Grove Road', 'Unit 110']",Duluth,MN,55811,(218) 733-9305
"['Sleep Number ', 'Chesterfield']","['Across from Boones Crossing Target', '16890 Chesterfield Airport Rd', 'Chesterfield']",Chesterfield,MO,63005,(636) 519-9977
"['Sleep Number ', 'St. Cloud']","['on Division in Waite Park', '4170 West Division Street', 'St. Cloud']",St. Cloud,MN,56301,(320) 252-3366
"['Sleep Number ', 'Fargo']","['next to Verizon Wireless', '1895 45th St. S,', 'Suite E-2 & E-3']",Fargo,ND,58103,(701) 281-9666
"['Sleep Number ', 'Baxter']","['Between Mills Ford and Menards, across from Cherry Berry', '15094 Dellwood Dr.', 'Suite 100']",Baxter,MN,56401,(218) 210-2397
"['Sleep Number ', 'Sacramento']","['Mall Location - Across from Forever 21', '1689 Arden Way', 'Suite 1020']",Sacramento,CA,95815,(916) 922-8021
"['Sleep Number ', 'Reno']","['Across from Whole Foods', '6350 S Virginia St.', 'Suite A']",Reno,NV,89511,(775) 448-9512
"['Sleep Number ', 'Roseville']","['Across from Yard House', '1162 Roseville Pkwy.', 'Suite 150']",Roseville,CA,95678,(916) 788-4344
"['Sleep Number ', 'Reno']","[""Near Dillard's"", '13925 S Virginia St', 'Suite 246']",Reno,NV,89511,(775) 853-6122
"['Sleep Number ', 'King Of Prussia']","[""Upper level, by Bloomingdale's"", '690 West Dekalb Pike', 'King Of Prussia']",King Of Prussia,PA,19406,(610) 878-9560
"['Sleep Number ', 'East Hanover']","['Next to REI on Route 10 West', '290 Route 10 West', 'East Hanover']",East Hanover,NJ,07936,(973) 599-1085
"['Sleep Number ', 'Lubbock']","['Near Discount Tire', '5605 Slide Rd', 'Lubbock']",Lubbock,TX,79414,(806) 785-1845
"['Sleep Number ', 'Totowa']","[""Next to David's Bridal on Route 46"", '578 Route 46 East', 'Totowa']",Totowa,NJ,07512,(973) 256-4851
"['Sleep Number ', 'Midland']","['Cornerstone Shopping Center', '4400 N Midland Drive', '#706']",Midland,TX,79707,(432) 694-3080
"['Sleep Number ', 'Rockaway']","[""Mall Location - Lower level, Macy's wing"", '301 Mount Hope Ave', 'Space 1065']",Rockaway,NJ,07866,(973) 442-1818
"['Sleep Number ', 'Amarillo']","['in front of World Market', '3300 S Soncy Rd.', 'Suite 100']",Amarillo,TX,79124,(806) 576-0669
"['Sleep Number ', 'Myrtle Beach']","['Mall Location - In the JCPenney wing', '2000 Coastal Grand Circle', 'Suite 305']",Myrtle Beach,SC,29577,(843) 839-9010
"['Sleep Number ', 'Union']","['next to Costco', '1235 W Chestnut St.', 'Space G']",Union,NJ,07083,(908) 623-1700
"['Sleep Number ', 'North Chesterfield']","['Midlothian Turnpike and Huguenot Rd.', '11546 Midlothian Turnpike', 'North Chesterfield']",North Chesterfield,VA,23235,(804) 378-5785
"['Sleep Number ', 'Wilmington']","['Near William Sonoma', '6864 Main St', 'Wilmington']",Wilmington,NC,28405,(910) 509-2112
"['Sleep Number ', 'Hickory']","['At Valley Hills Mall entrance', '2030 Hwy. 70 SE', 'Suite A']",Hickory,NC,28602,(828) 324-0344
"['Sleep Number ', 'Gastonia']","['At the side entrance of Target', '2272 E Franklin Blvd', 'Suite 100']",Gastonia,NC,28054,(980) 320-8449
"['Sleep Number ', 'Roanoke']","['Near Barnes & Noble', '4822 G Valley View Blvd,', 'Suite L-06']",Roanoke,VA,24012,(540) 265-8515
"['Sleep Number ', 'Lynchburg']","['Near Starbucks', '3911 Wards Road', 'Suite C']",Lynchburg,VA,24502,(434) 237-0218
"['Sleep Number ', 'Charlotte']","['Pineville-Matthews Rd half a mile from Carolinas Place Mall', '8912 Pineville Matthews Rd', 'Unit C']",Charlotte,NC,28226,(704) 543-6431
"['Sleep Number ', 'Canton']","['Mall Location - Next to Best Buy Mobile across from Finish Line', '4285 Belden Village Mall', 'Suite A14']",Canton,OH,44718,(330) 244-0630
"['Sleep Number ', 'Akron']","['Across from Jared', '3891G Medina Rd', 'Akron']",Akron,OH,44333,(330) 668-9132
"['Sleep Number ', 'Dallas']","['Preston Road and W Northwest Hwy', '8421 Preston Road', 'Dallas']",Dallas,TX,75225,(469) 283-2280
